제품명,브랜드,AI여부,CPU브랜드,CPU등급,그래픽,RAM(GB),배터리용량,무게(kg),화면크기(인치),가격,리뷰수,용도,용도_게임용,용도_그래픽작업용,용도_사무,용도_휴대용,has_rating,별점,외장그래픽,등록일,등록_경과월,Cluster,OS_프리도스,OS_윈도우11,OS_macOS
MSI 벡터 16 HX AI A2XWHG-U7 QHD+ 64GB램,MSI,1,인텔,7,외장,64.0,90.0,2.7,16.0,3970300,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,5,1,0,0
MSI 사이보그 15 B2RWEKG-C5 32GB램,MSI,0,인텔,5,외장,32.0,55.2,1.95,15.6,1763000,1,게임용,1,0,0,0,1,5.0,1,25.07.,8,3,1,0,0
MSI 스텔스 A16 MercedesAMG AI+ A3XWGG-R9 QHD+ OLED W11,MSI,1,AMD,9,외장,32.0,99.9,2.1,16.0,3349710,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.07.,8,0,0,1,0
MSI GF시리즈 Sword GF76 B13VFK,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,1598890,13,게임용,1,0,0,0,1,4.3,1,23.02.,37,3,1,0,0
MSI 벡터 A16 HX A8WIG-R9 QHD+,MSI,0,AMD,9,외장,16.0,90.0,2.7,16.0,3449360,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.08.,7,3,1,0,0
MSI 소드 GF66 A AI B8VE-R7 WIN11 32GB램,MSI,1,AMD,7,외장,32.0,53.5,2.25,15.6,1879480,5,일반,0,0,1,0,1,5.0,1,25.02.,13,0,0,1,0
MSI 크로스헤어 17 HX AI D2XWFKG-U7 QHD+ WIN11 64GB램,MSI,1,인텔,7,외장,64.0,90.0,2.8,17.0,3249890,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.07.,8,0,0,1,0
MSI 모던시리즈 모던 14 C7M-R5 매트 블랙 WIN11,MSI,0,AMD,5,내장,8.0,39.3,1.4,14.0,660000,1,사무,0,0,1,0,1,5.0,0,24.01.,26,4,0,1,0
MSI GF시리즈 Thin GF63 12VE-i7 WIN11 32GB램,MSI,0,인텔,7,외장,32.0,52.4,1.77,15.6,1699000,6,게임용,1,0,0,0,1,5.0,1,23.03.,36,2,0,1,0
MSI 소드 GF76 HX B14WFK-i9 32GB램,MSI,0,인텔,9,외장,32.0,75.0,2.7,17.3,2244560,2,게임용,1,0,0,0,1,5.0,1,25.10.,5,3,1,0,0
MSI 프레스티지 14 AI+ Evo C2VMG-U7 W11,MSI,1,인텔,7,내장,32.0,90.0,1.7,14.0,1839000,2,사무,0,0,1,0,1,5.0,0,24.12.,15,4,0,1,0
MSI GF시리즈 Sword GF76 B13VFK WIN11 64GB램,MSI,0,인텔,7,외장,64.0,53.5,2.6,17.3,2145000,6,게임용,1,0,0,0,1,4.8,1,23.02.,37,2,0,1,0
MSI GF시리즈 Sword GF76 B12VEK WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,1618990,9,게임용,1,0,0,0,1,4.2,1,23.02.,37,2,0,1,0
MSI 소드 16 HX B14VFKG WIN11 32GB램,MSI,0,인텔,7,외장,32.0,65.0,2.3,16.0,2374080,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,2,0,1,0
MSI 사이보그 15 AI A1VEK-U5 WIN11 32GB램,MSI,1,인텔,5,외장,32.0,53.5,1.98,15.6,1698690,1,게임용,1,0,0,0,1,5.0,1,24.01.,26,0,0,1,0
MSI 소드 17 HX B14VFKG WIN11 32GB램,MSI,0,인텔,7,외장,32.0,65.0,2.6,17.0,2587450,5,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.07.,20,2,0,1,0
MSI 사이보그 14 A13VF WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,1.6,14.0,1990000,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,2,0,1,0
MSI 모던시리즈 모던 14 H D13MG-i9,MSI,0,인텔,9,내장,16.0,53.8,1.6,14.0,1119100,2,사무,0,0,1,0,1,5.0,0,24.01.,26,3,1,0,0
MSI GF시리즈 Thin GF63 12VE-i7 WIN11,MSI,0,인텔,7,외장,8.0,52.4,1.77,15.6,1314470,1,게임용,1,0,0,0,1,5.0,1,23.03.,36,2,0,1,0
MSI 모던시리즈 모던 14 H D13MG-i9 64GB램,MSI,0,인텔,9,내장,64.0,53.8,1.6,14.0,1805510,1,사무,0,0,1,0,1,5.0,0,24.01.,26,3,1,0,0
MSI 소드 GF76 HX B14WGK-i7 QHD,MSI,0,인텔,7,외장,16.0,75.0,2.7,17.3,2199160,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.05.,10,3,1,0,0
MSI 소드 16 HX B14VFKG WIN11 64GB램,MSI,0,인텔,7,외장,64.0,65.0,2.3,16.0,2995020,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,2,0,1,0
MSI 소드 17 HX B14VGKG-i9 QHD,MSI,0,인텔,9,외장,32.0,65.0,2.6,17.0,2490000,29,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,24.04.,23,3,1,0,0
MSI 브라보 17 C7VF WIN11 32GB램,MSI,0,AMD,7,외장,32.0,53.5,2.7,17.3,2530000,2,게임용,1,0,0,0,1,5.0,1,23.06.,33,2,0,1,0
MSI GF시리즈 Sword GF76 B12VEK WIN11 16GB램,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,1478990,2,게임용,1,0,0,0,1,5.0,1,23.02.,37,2,0,1,0
MSI GF시리즈 Sword GF66 B13VFK WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.25,15.6,2049170,4,게임용,1,0,0,0,1,5.0,1,23.02.,37,2,0,1,0
MSI 사이보그 14 A13VF WIN11 16GB램,MSI,0,인텔,7,외장,16.0,53.5,1.6,14.0,1750000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,2,0,1,0
MSI 크로스헤어 A18 HX A7WGKG-R9 QHD+ WIN11 64GB램,MSI,0,AMD,9,외장,64.0,90.0,3.1,18.0,2987000,4,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,25.07.,8,2,0,1,0
MSI 씬 15 B13VE WIN11 16GB램,MSI,0,인텔,7,외장,16.0,52.4,1.86,15.6,1499000,2,게임용,1,0,0,0,1,5.0,1,25.01.,14,2,0,1,0
MSI 모던시리즈 모던 15 H AI C2HMG-U7 64GB램,MSI,1,인텔,7,내장,64.0,39.3,1.9,15.6,2433170,1,사무,0,0,1,0,1,4.0,0,25.02.,13,4,1,0,0
MSI GF시리즈 Thin GF63 12VE-i7 WIN11 64GB램,MSI,0,인텔,7,외장,64.0,52.4,1.77,15.6,2485770,1,게임용,1,0,0,0,1,5.0,1,23.03.,36,2,0,1,0
MSI 스텔스 16 AI Studio A1VFG-U9 QHD WIN11 32GB램,MSI,1,인텔,9,외장,32.0,99.9,1.99,16.0,2754050,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,0,0,1,0
MSI 씬 15 B12VE-i5 WIN11 64GB램,MSI,0,인텔,5,외장,64.0,52.4,1.86,15.6,2137000,2,게임용,1,0,0,0,1,5.0,1,24.05.,22,2,0,1,0
MSI 소드 17 HX B14VFKG QHD WIN11 32GB램,MSI,0,인텔,7,외장,32.0,65.0,2.6,17.0,2503170,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,2,0,1,0
MSI GF시리즈 Sword GF76 B13VEK,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,1592970,5,게임용,1,0,0,0,1,5.0,1,23.02.,37,3,1,0,0
MSI GF시리즈 Sword GF76 B13VEK 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,1972840,2,게임용,1,0,0,0,1,5.0,1,23.02.,37,3,1,0,0
MSI GP시리즈 Vector GP76 12UGS WIN11 64GB램,MSI,0,인텔,7,외장,64.0,65.0,2.9,17.3,3147780,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.07.,44,2,0,1,0
MSI 씬 15 B12UC-i5 WIN11 32GB램,MSI,0,인텔,5,외장,32.0,52.4,1.86,15.6,2199000,1,게임용,1,0,0,0,1,5.0,1,24.05.,22,2,0,1,0
MSI GF시리즈 Sword GF66 B13VFK WIN11 64GB램,MSI,0,인텔,7,외장,64.0,53.5,2.25,15.6,2340000,1,게임용,1,0,0,0,1,4.0,1,23.02.,37,2,0,1,0
MSI 펄스 16 AI C1VFKG-U9 QHD W11 64GB램,MSI,1,인텔,9,외장,64.0,90.0,2.5,16.0,2925120,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,0,0,1,0
MSI 사이보그 14 A13VE WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,1.6,14.0,1883170,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,2,0,1,0
MSI GF시리즈 Sword GF76 B13VFK 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,2115000,7,게임용,1,0,0,0,1,5.0,1,23.02.,37,3,1,0,0
MSI GF시리즈 Thin GF63 12UCX-i5 WIN11 64GB램,MSI,0,인텔,5,외장,64.0,52.4,1.77,15.6,2274890,1,게임용,1,0,0,0,1,5.0,1,23.08.,31,2,0,1,0
MSI 씬 15 B13VE 16GB램,MSI,0,인텔,7,외장,16.0,52.4,1.86,15.6,1440000,1,게임용,1,0,0,0,1,5.0,1,25.01.,14,3,1,0,0
MSI 펄스 16 AI C1VFKG-U9 QHD W11 32GB램,MSI,1,인텔,9,외장,32.0,90.0,2.5,16.0,3249890,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,0,0,1,0
MSI GF시리즈 Thin GF63 12UCX-i5 WIN11 16GB램,MSI,0,인텔,5,외장,16.0,52.4,1.77,15.6,1585980,3,게임용,1,0,0,0,1,5.0,1,23.08.,31,2,0,1,0
ASUS 비보북 S 16 M5606KA-RI083,ASUS,1,AMD,5,내장,16.0,75.0,1.5,16.0,1486000,38,사무,0,0,1,0,1,4.6,0,25.02.,13,4,1,0,0
MSI 펄스 16 AI C1VFKG-U9 QHD W11,MSI,1,인텔,9,외장,16.0,90.0,2.5,16.0,3345000,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,24.05.,22,0,0,1,0
MSI GF시리즈 Thin GF63 12UCX-i5 WIN11 32GB램,MSI,0,인텔,5,외장,32.0,52.4,1.77,15.6,1685100,2,게임용,1,0,0,0,1,5.0,1,23.08.,31,2,0,1,0
MSI GF시리즈 Sword GF76 B13VFK 64GB램,MSI,0,인텔,7,외장,64.0,53.5,2.6,17.3,1985500,4,게임용,1,0,0,0,1,5.0,1,23.02.,37,3,1,0,0
Razer Blade 16 13Gen R4070 QHD,Razer,0,인텔,9,외장,16.0,95.2,2.45,16.0,4173160,6,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,23.03.,36,2,0,1,0
MSI 사이보그 15 A13VE-i5 16GB램,MSI,0,인텔,5,외장,16.0,53.5,1.98,15.6,1515830,2,게임용,1,0,0,0,1,5.0,1,24.11.,16,3,1,0,0
MSI 모던시리즈 모던 15 H AI C1MG-U5 WIN11,MSI,1,인텔,5,내장,16.0,39.3,1.9,15.6,1218890,1,사무,0,0,1,0,1,5.0,0,24.04.,23,4,0,1,0
MSI 브라보 17 D7VF WIN11,MSI,0,AMD,7,외장,16.0,53.5,2.7,17.3,1649000,3,게임용,1,0,0,0,1,5.0,1,23.10.,29,2,0,1,0
MSI 브라보 17 D7VF WIN11 64GB램,MSI,0,AMD,7,외장,64.0,53.5,2.7,17.3,2599000,1,게임용,1,0,0,0,1,5.0,1,23.10.,29,2,0,1,0
MSI 펄스 17 B13VGK-i9 QHD WIN11 32GB램,MSI,0,인텔,9,외장,32.0,90.0,2.7,17.3,2354640,11,"게임용 , 그래픽작업용",1,1,0,0,1,4.9,1,23.10.,29,2,0,1,0
MSI 씬 15 B13VE 32GB램,MSI,0,인텔,7,외장,32.0,52.4,1.86,15.6,1755000,5,게임용,1,0,0,0,1,5.0,1,24.08.,19,3,1,0,0
MSI 펄스 17 B13VGK-i9 QHD,MSI,0,인텔,9,외장,16.0,90.0,2.7,17.3,2195680,3,"게임용 , 그래픽작업용",1,1,0,0,1,4.6,1,23.10.,29,3,1,0,0
MSI 프레스티지 16 AI Studio B1VEG-U7,MSI,1,인텔,7,외장,32.0,99.9,1.6,16.0,2298000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.07.,20,5,1,0,0
Razer Blade 18 14Gen R4080 QHD,Razer,0,인텔,9,외장,32.0,91.7,3.1,18.0,4549800,6,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,2,0,1,0
MSI 모던시리즈 모던15 H B13M-i5,MSI,0,인텔,5,내장,8.0,39.3,1.9,15.6,739000,1,사무,0,0,1,0,1,4.0,0,23.12.,27,3,1,0,0
MSI 소드 GF66 A AI B8VE-R7 16GB램,MSI,1,AMD,7,외장,16.0,53.5,2.25,15.6,1777490,1,일반,0,0,1,0,1,5.0,1,25.02.,13,5,1,0,0
MSI GF시리즈 Sword GF76 B12UDXK WIN11 16GB램,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,1499000,1,게임용,1,0,0,0,1,5.0,1,23.10.,29,2,0,1,0
MSI GF시리즈 소드 GF76 A AI B8VF-R9 32GB램,MSI,1,AMD,9,외장,32.0,53.5,2.7,17.3,1998790,1,게임용,1,0,0,0,1,3.0,1,24.07.,20,5,1,0,0
MSI 씬 A15 B7UC-R7 64GB램,MSI,0,AMD,7,외장,64.0,52.4,1.86,15.6,1965000,1,게임용,1,0,0,0,1,4.0,1,24.10.,17,3,1,0,0
MSI GF시리즈 소드 GF76 A AI B8VF-R9 WIN11 32GB램,MSI,1,AMD,9,외장,32.0,53.5,2.7,17.3,2097000,4,게임용,1,0,0,0,1,5.0,1,24.07.,20,0,0,1,0
MSI 모던시리즈 모던15 H B13M-i5 32GB램,MSI,0,인텔,5,내장,32.0,39.3,1.9,15.6,1154400,3,사무,0,0,1,0,1,5.0,0,24.01.,26,3,1,0,0
MSI 모던시리즈 모던15 H B13M-i5 WIN11 16GB램,MSI,0,인텔,5,내장,16.0,39.3,1.9,15.6,982440,1,사무,0,0,1,0,1,5.0,0,24.01.,26,4,0,1,0
MSI 씬 15 B13VE WIN11 64GB램,MSI,0,인텔,7,외장,64.0,52.4,1.86,15.6,2389000,1,게임용,1,0,0,0,1,5.0,1,25.01.,14,2,0,1,0
MSI 소드 17 HX B14VGKG-i9 QHD 64GB램,MSI,0,인텔,9,외장,64.0,65.0,2.6,17.0,3100000,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,24.04.,23,3,1,0,0
MSI 씬 A15 B7VF-R7 WIN11 32GB램,MSI,0,AMD,7,외장,32.0,52.4,1.86,15.6,1949890,1,게임용,1,0,0,0,1,5.0,1,24.02.,25,2,0,1,0
MSI 사이보그 15 AI A1VFK WIN11 64GB램,MSI,1,인텔,7,외장,64.0,53.5,1.98,15.6,2711410,1,게임용,1,0,0,0,1,3.0,1,24.01.,26,0,0,1,0
MSI 모던시리즈 모던15 H B13M-i5 WIN11 32GB램,MSI,0,인텔,5,내장,32.0,39.3,1.9,15.6,1202050,1,사무,0,0,1,0,1,5.0,0,24.01.,26,4,0,1,0
MSI 스텔스 14 AI Studio A1VFG-U9 OLED,MSI,1,인텔,9,외장,16.0,72.0,1.7,14.0,2489000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,5,1,0,0
Razer Blade 16 14Gen R4080 QHD,Razer,0,인텔,9,외장,32.0,95.2,2.45,16.0,5490000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,24.02.,25,2,0,1,0
MSI GF시리즈 Sword GF76 B12UDXK WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,1798890,1,게임용,1,0,0,0,1,5.0,1,23.10.,29,2,0,1,0
MSI GF시리즈 Thin GF63 12VE-i5 WIN11 32GB램,MSI,0,인텔,5,외장,32.0,52.4,1.77,15.6,1918000,2,게임용,1,0,0,0,1,4.5,1,23.02.,37,2,0,1,0
MSI GF시리즈 Sword GF76 B12UDXK WIN11 64GB램,MSI,0,인텔,7,외장,64.0,53.5,2.6,17.3,2393270,1,게임용,1,0,0,0,1,5.0,1,23.10.,29,2,0,1,0
MSI 크로스헤어 17 HX D14VGKG-i9 QHD WIN11,MSI,0,인텔,9,외장,32.0,90.0,2.8,17.0,2943940,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,2,0,1,0
MSI 사이보그 15 AI A1VFK WIN11 32GB램,MSI,1,인텔,7,외장,32.0,53.5,1.98,15.6,2083870,5,게임용,1,0,0,0,1,5.0,1,24.01.,26,0,0,1,0
MSI 크로스헤어 16 HX 몬스터 헌터 에디션 D14VFKG QHD,MSI,0,인텔,7,외장,16.0,90.0,2.5,16.0,2111040,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,3,1,0,0
MSI 사이보그 15 A13VF WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,1.98,15.6,2114680,5,게임용,1,0,0,0,1,4.6,1,24.10.,17,2,0,1,0
MSI 펄스 17 AI C1VFKG-U9 QHD W11 64GB램,MSI,1,인텔,9,외장,64.0,90.0,2.8,17.0,3293290,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,0,0,1,0
MSI 크리에이터 Z17 HX Studio A13VGT-i9 W11 64GB램,MSI,0,인텔,9,외장,64.0,90.0,2.49,17.0,4490000,1,그래픽작업용,0,1,0,0,1,5.0,1,23.06.,33,2,0,1,0
Razer Blade 16 14Gen R4070 QHD,Razer,0,인텔,9,외장,16.0,95.2,2.45,16.0,4213060,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,24.04.,23,2,0,1,0
MSI 씬 A15 B7VF-R7 WIN11 16GB램,MSI,0,AMD,7,외장,16.0,52.4,1.86,15.6,1636890,2,게임용,1,0,0,0,1,4.5,1,24.02.,25,2,0,1,0
MSI 사이보그 15 AI A1VFK 32GB램,MSI,1,인텔,7,외장,32.0,53.5,1.98,15.6,2061570,1,게임용,1,0,0,0,1,5.0,1,24.01.,26,5,1,0,0
MSI GF시리즈 Sword GF76 B12VEK 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,1614050,4,게임용,1,0,0,0,1,5.0,1,23.02.,37,3,1,0,0
MSI 씬 A15 B7VF-R7,MSI,0,AMD,7,외장,8.0,52.4,1.86,15.6,1633250,1,게임용,1,0,0,0,1,5.0,1,24.02.,25,3,1,0,0
MSI 브라보 17 D7VF,MSI,0,AMD,7,외장,16.0,53.5,2.7,17.3,1599000,6,게임용,1,0,0,0,1,5.0,1,23.10.,29,3,1,0,0
MSI GE시리즈 레이더 GE66 12UHS 4K W11,MSI,0,인텔,7,외장,32.0,99.9,2.38,15.6,2739800,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.02.,49,2,0,1,0
MSI 사이보그 15 A13VF WIN11 64GB램,MSI,0,인텔,7,외장,64.0,53.5,1.98,15.6,2785080,1,게임용,1,0,0,0,1,5.0,1,24.10.,17,2,0,1,0
MSI 크로스헤어 17 HX D14VGKG-i9 QHD WIN11 64GB램,MSI,0,인텔,9,외장,64.0,90.0,2.8,17.0,3426220,4,"게임용 , 그래픽작업용",1,1,0,0,1,4.7,1,24.04.,23,2,0,1,0
MSI 사이보그 15 AI A1VEK-U5 32GB램,MSI,1,인텔,5,외장,32.0,53.5,1.98,15.6,1734880,1,게임용,1,0,0,0,1,5.0,1,24.01.,26,5,1,0,0
MSI 사이보그 15 AI A1VFK-U5 WIN11 64GB램,MSI,1,인텔,5,외장,64.0,53.5,1.98,15.6,2349890,1,게임용,1,0,0,0,1,5.0,1,24.01.,26,0,0,1,0
레노버 요가 Slim7 Carbon 14ACN6 82L0004XKR,레노버,0,AMD,7,외장,16.0,61.0,1.09,14.0,1890000,53,"그래픽작업용 , 휴대용",0,1,0,1,1,4.7,1,22.01.,50,2,0,1,0
MSI Stealth 17 Studio A13VI-i9 4K Mini LED W11,MSI,0,인텔,9,외장,32.0,99.9,2.8,17.3,5489000,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.02.,37,2,0,1,0
MSI GF시리즈 GF76 B13VFKB1 W11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,2213980,1,게임용,1,0,0,0,1,5.0,1,25.08.,7,2,0,1,0
MSI 펄스 17 AI C1VFKG-U9 QHD 64GB램,MSI,1,인텔,9,외장,64.0,90.0,2.8,17.0,3248470,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,24.05.,22,5,1,0,0
MSI 펄스 17 AI C1VFKG-U9 QHD WIN11 32GB램,MSI,1,인텔,9,외장,32.0,90.0,2.8,17.0,2633870,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,0,0,1,0
MSI 사이보그 15 AI A1VFK,MSI,1,인텔,7,외장,8.0,53.5,1.98,15.6,1646980,1,게임용,1,0,0,0,1,5.0,1,25.07.,8,5,1,0,0
MSI 사이보그 15 A13VF 32GB램,MSI,0,인텔,7,외장,32.0,53.5,1.98,15.6,2092380,6,게임용,1,0,0,0,1,4.3,1,24.10.,17,3,1,0,0
Razer Blade 18 14Gen R4070 QHD,Razer,0,인텔,9,외장,32.0,91.7,3.1,18.0,4990000,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,2,0,1,0
MSI 펄스 17 B13VGK-i9 QHD WIN11 64GB램,MSI,0,인텔,9,외장,64.0,90.0,2.7,17.3,2799000,6,"게임용 , 그래픽작업용",1,1,0,0,1,4.6,1,23.10.,29,2,0,1,0
MSI GF시리즈 Thin GF63 12VE-i5 16GB램,MSI,0,인텔,5,외장,16.0,52.4,1.77,15.6,1635980,3,게임용,1,0,0,0,1,4.6,1,23.02.,37,3,1,0,0
MSI 소드 16 HX B14VFKG 64GB램,MSI,0,인텔,7,외장,64.0,65.0,2.3,16.0,3022080,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,24.05.,22,3,1,0,0
MSI 브라보 17 C7VF 프로 WIN11 32GB램,MSI,0,AMD,7,외장,32.0,53.5,2.7,17.3,2590000,2,게임용,1,0,0,0,1,5.0,1,23.07.,32,2,0,1,0
MSI 브라보 17 C7VFKP-R9 WIN11 64GB램,MSI,1,AMD,9,외장,64.0,53.5,2.7,17.3,2607650,1,게임용,1,0,0,0,1,5.0,1,23.08.,31,0,0,1,0
MSI 브라보 17 C7VFKP-R9 WIN11,MSI,1,AMD,9,외장,16.0,53.5,2.7,17.3,2006890,1,게임용,1,0,0,0,1,5.0,1,23.08.,31,0,0,1,0
MSI 프레스티지 13 Evo A13M W11,MSI,0,인텔,7,내장,16.0,75.0,0.99,13.3,1999000,3,사무,0,0,1,0,1,5.0,0,23.03.,36,4,0,1,0
MSI 스텔스 18 AI Studio A1VGG-U9 QHD,MSI,1,인텔,9,외장,32.0,99.9,2.89,18.0,4798000,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,25.01.,14,5,1,0,0
MSI 모던시리즈 모던 15 H B13M-i9 32GB램,MSI,0,인텔,9,내장,32.0,53.8,1.9,15.6,2390000,2,사무,0,0,1,0,1,5.0,0,24.05.,22,3,1,0,0
MSI GF시리즈 Sword GF76 B13VGK-i9 QHD WIN11 64GB램,MSI,0,인텔,9,외장,64.0,53.5,2.6,17.3,2580000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.06.,33,2,0,1,0
MSI GF시리즈 Thin GF63 12VE-i7 64GB램,MSI,0,인텔,7,외장,64.0,52.4,1.77,15.6,2464770,1,게임용,1,0,0,0,1,3.0,1,23.03.,36,3,1,0,0
MSI GF시리즈 Thin GF63 12VF-i5 32GB램,MSI,0,인텔,5,외장,32.0,52.4,1.77,15.6,1805000,1,게임용,1,0,0,0,1,5.0,1,23.06.,33,3,1,0,0
MSI 브라보 17 C7VF 32GB램,MSI,0,AMD,7,외장,32.0,53.5,2.7,17.3,2530000,1,게임용,1,0,0,0,1,5.0,1,23.06.,33,3,1,0,0
MSI 펄스 17 AI C1VFKG-U9 QHD WIN11 64GB램,MSI,1,인텔,9,외장,64.0,90.0,2.8,17.0,3304270,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,0,0,1,0
MSI 펄스 17 B13VGK-i9 QHD WIN11,MSI,0,인텔,9,외장,16.0,90.0,2.7,17.3,2217980,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.10.,29,2,0,1,0
MSI 브라보 17 C7VFKP-R9 64GB램,MSI,1,AMD,9,외장,64.0,53.5,2.7,17.3,2589050,1,게임용,1,0,0,0,1,5.0,1,23.08.,31,5,1,0,0
MSI 브라보 17 C7VFKP-R9 WIN11 32GB램,MSI,1,AMD,9,외장,32.0,53.5,2.7,17.3,2271840,5,게임용,1,0,0,0,1,3.4,1,23.08.,31,0,0,1,0
MSI 크리에이터 M14 A13VF WIN11 64GB램,MSI,0,인텔,7,외장,64.0,53.5,1.6,14.0,2782980,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,2,0,1,0
MSI 크리에이터 M14 A13VF WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,1.6,14.0,2450000,1,"게임용 , 그래픽작업용",1,1,0,0,1,3.0,1,24.05.,22,2,0,1,0
MSI 스텔스 16 AI Studio A1VFG-U9 QHD 32GB램,MSI,1,인텔,9,외장,32.0,99.9,1.99,16.0,3056660,1,"게임용 , 그래픽작업용",1,1,0,0,1,2.0,1,24.04.,23,5,1,0,0
MSI GP시리즈 Vector GP66 12UH-i9,MSI,0,인텔,9,외장,16.0,65.0,2.38,15.6,6759800,16,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.01.,50,3,1,0,0
MSI 사이보그 14 A13VF 32GB램,MSI,0,인텔,7,외장,32.0,53.5,1.6,14.0,1990000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,3,1,0,0
MSI GF시리즈 Thin GF63 12VF-i5 WIN11 32GB램,MSI,0,인텔,5,외장,32.0,52.4,1.77,15.6,1852500,2,게임용,1,0,0,0,1,4.0,1,23.06.,33,2,0,1,0
MSI 소드 17 HX B14VFKG QHD 32GB램,MSI,0,인텔,7,외장,32.0,65.0,2.6,17.0,2481200,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,3,1,0,0
MSI 프레스티지 16 AI Studio B1VGG W11,MSI,1,인텔,9,외장,32.0,99.9,1.6,16.0,7000000,5,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.02.,25,0,0,1,0
MSI 사이보그 15 AI A1VFK 64GB램,MSI,1,인텔,7,외장,64.0,53.5,1.98,15.6,2733780,2,게임용,1,0,0,0,1,5.0,1,24.01.,26,5,1,0,0
MSI GE시리즈 레이더 GE68 HX 13VG-i9 4K,MSI,0,인텔,9,외장,16.0,99.9,2.7,16.0,3990000,3,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,23.05.,34,3,1,0,0
MSI 크리에이터 Z16 HX Studio B13VFTO-i9,MSI,0,인텔,9,외장,16.0,90.0,2.35,16.0,2999000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.03.,36,3,1,0,0
